"Name","State","Notes","User","Tags","Created","Runtime","Sweep","cfg_file","dataset.dataset_name","dataset.num_samples","dataset.seq_len","dataset.task","device","draft_model.attn_implementation","draft_model.dtype","draft_model.model_name_or_path","target_model.attn_implementation","target_model.dtype","target_model.model_name_or_path","target_sparse_config.kernel_size","target_sparse_config.max_capacity_prompt","target_sparse_config.query_aggregation","target_sparse_config.sparse_type","target_sparse_config.window_size","draft_model.num_eval_tokens","target_sparse_config.num_vertical","target_sparse_config.pooling","target_sparse_config.prefill_window_size","draft_input_ratio","draft_nulls","draft_score","draft_score_all","perf/draft/compressed_input_size","perf/draft/compressed_input_size_mean","perf/draft/full_input_size","perf/draft/full_input_size_mean","perf/draft/input_length","perf/draft/input_length_mean","perf/draft/input_ratio","perf/draft/input_ratio_mean","perf/draft/mem_gb_after/generate","perf/draft/mem_gb_before/generate","perf/draft/output_length","perf/draft/output_length_mean","perf/draft/time/generate","perf/target/compressed_input_size","perf/target/compressed_input_size_mean","perf/target/full_input_size","perf/target/full_input_size_mean","perf/target/input_length","perf/target/input_length_mean","perf/target/input_ratio","perf/target/input_ratio_mean","perf/target/mem_gb_after/generate","perf/target/mem_gb_before/generate","perf/target/output_length","perf/target/output_length_mean","perf/target/time/generate","target_input_ratio","target_nulls","target_score","target_score_all"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/ethan_1024_vs_2048/longbench/sparse_prefill_snapkv/00011","finished","-","","","2025-04-23T01:17:28.000Z","269","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/ethan_1024_vs_2048/longbench/sparse_prefill_snapkv/00011.yaml","longbench","50","","triviaqa","1","flash_attention_2","bfloat16","meta-llama/Llama-3.2-1B-Instruct","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","512","max","sparse_prefill_snapkv","32","64","2048","max","2048","0.00012180517758519905","","79.6","1","1","1","4181","12284.98","4181","12284.98","0.0002391772303276728","0.00012180517758519905","17.68188714981079","17.297980308532715","4","58.02","0.2068955898284912","4181","12284.98","4181","12284.98","4181","12284.98","1","1","17.797707557678223","17.26746654510498","32","32","1.8095965385437012","1","","94.27","1"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/ethan_1024_vs_2048/longbench/sparse_prefill_snapkv/00010","finished","-","","","2025-04-23T01:17:06.000Z","166","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/ethan_1024_vs_2048/longbench/sparse_prefill_snapkv/00010.yaml","longbench","50","","lcc","0","flash_attention_2","bfloat16","meta-llama/Llama-3.2-1B-Instruct","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","512","max","sparse_prefill_snapkv","32","64","2048","max","2048","0.00042586482577622","","28.48","0.47","1","1","2761","3038.62","2761","3038.62","0.0003621876131836291","0.00042586482577622","17.551703929901123","17.298182487487793","64","64","0.8134686946868896","2761","3038.62","2761","3038.62","2761","3038.62","1","1","17.654010772705078","17.267674922943115","64","64","2.2487094402313232","1","","43.02","0.19"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/ethan_1024_vs_2048/longbench/sparse_prefill_snapkv/00009","finished","-","","","2025-04-23T01:15:06.000Z","140","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/ethan_1024_vs_2048/longbench/sparse_prefill_snapkv/00009.yaml","longbench","50","","2wikimqa","1","flash_attention_2","bfloat16","meta-llama/Llama-3.2-1B-Instruct","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","512","max","sparse_prefill_snapkv","32","64","2048","max","2048","0.00017596448118699045","","35.52","0","1","1","5149","7644.82","5149","7644.82","0.0001942124684404739","0.00017596448118699045","17.743120193481445","17.27005434036255","6","6.96","0.26052212715148926","5149","7644.82","5149","7644.82","5149","7644.82","1","1","17.919500827789307","17.2675199508667","32","9","2.098572254180908","1","","48.96","0"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/ethan_1024_vs_2048/longbench/sparse_prefill_snapkv/00008","finished","-","","","2025-04-23T01:12:47.000Z","257","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/ethan_1024_vs_2048/longbench/sparse_prefill_snapkv/00008.yaml","longbench","50","","triviaqa","0","flash_attention_2","bfloat16","meta-llama/Llama-3.2-1B-Instruct","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","512","max","sparse_prefill_snapkv","32","64","1024","max","1024","0.00012180517758519905","","79.6","1","1","1","4181","12284.98","4181","12284.98","0.0002391772303276728","0.00012180517758519905","17.682093143463135","17.29818630218506","4","58.02","0.20236420631408691","4181","12284.98","4181","12284.98","4181","12284.98","1","1","17.7986421585083","17.267672538757324","32","32","1.7751429080963137","1","","92.14","1"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/ethan_1024_vs_2048/longbench/sparse_prefill_snapkv/00007","finished","-","","","2025-04-23T01:12:10.000Z","174","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/ethan_1024_vs_2048/longbench/sparse_prefill_snapkv/00007.yaml","longbench","50","","lcc","1","flash_attention_2","bfloat16","meta-llama/Llama-3.2-1B-Instruct","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","512","max","sparse_prefill_snapkv","32","64","1024","max","1024","0.00042586482577622","","28.48","0.47","1","1","2761","3038.62","2761","3038.62","0.0003621876131836291","0.00042586482577622","17.551817417144775","17.29797649383545","64","64","0.7938289642333984","2761","3038.62","2761","3038.62","2761","3038.62","1","1","17.65279722213745","17.267468452453613","64","63.32","2.253199338912964","1","","46.58","0.19"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/ethan_1024_vs_2048/longbench/sparse_prefill_snapkv/00006","finished","-","","","2025-04-23T01:09:52.000Z","136","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/ethan_1024_vs_2048/longbench/sparse_prefill_snapkv/00006.yaml","longbench","50","","2wikimqa","1","flash_attention_2","bfloat16","meta-llama/Llama-3.2-1B-Instruct","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","512","max","sparse_prefill_snapkv","32","64","1024","max","1024","0.00017596448118699045","","35.52","0","1","1","5149","7644.82","5149","7644.82","0.0001942124684404739","0.00017596448118699045","17.743120193481445","17.27005434036255","6","6.96","0.261671781539917","5149","7644.82","5149","7644.82","5149","7644.82","1","1","17.920179843902588","17.2675199508667","30","9.26","2.0083160400390625","1","","44.53","0.35294117647058826"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/ethan_1024_vs_2048/longbench/sparse_prefill_snapkv/00005","finished","-","","","2025-04-23T01:08:21.000Z","265","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/ethan_1024_vs_2048/longbench/sparse_prefill_snapkv/00005.yaml","longbench","50","","triviaqa","0","flash_attention_2","bfloat16","meta-llama/Llama-3.2-1B-Instruct","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","256","max","sparse_prefill_snapkv","32","64","2048","max","2048","0.00012180517758519905","","79.6","1","1","1","4181","12284.98","4181","12284.98","0.0002391772303276728","0.00012180517758519905","17.682093143463135","17.29818630218506","4","58.02","0.20549821853637695","4181","12284.98","4181","12284.98","4181","12284.98","1","1","17.764625549316406","17.267672538757324","32","32","1.7985477447509766","1","","89.93","1"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/ethan_1024_vs_2048/longbench/sparse_prefill_snapkv/00004","finished","-","","","2025-04-23T01:06:55.000Z","175","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/ethan_1024_vs_2048/longbench/sparse_prefill_snapkv/00004.yaml","longbench","50","","lcc","1","flash_attention_2","bfloat16","meta-llama/Llama-3.2-1B-Instruct","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","256","max","sparse_prefill_snapkv","32","64","2048","max","2048","0.00042586482577622","","28.48","0.47","1","1","2761","3038.62","2761","3038.62","0.0003621876131836291","0.00042586482577622","17.551817417144775","17.29797649383545","64","64","0.810370683670044","2761","3038.62","2761","3038.62","2761","3038.62","1","1","17.620838165283203","17.26746892929077","64","64","2.6095118522644043","1","","42.38","0.19"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/ethan_1024_vs_2048/longbench/sparse_prefill_snapkv/00003","finished","-","","","2025-04-23T01:04:33.000Z","140","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/ethan_1024_vs_2048/longbench/sparse_prefill_snapkv/00003.yaml","longbench","50","","2wikimqa","1","flash_attention_2","bfloat16","meta-llama/Llama-3.2-1B-Instruct","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","256","max","sparse_prefill_snapkv","32","64","2048","max","2048","0.00017596448118699045","","35.52","0","1","1","5149","7644.82","5149","7644.82","0.0001942124684404739","0.00017596448118699045","17.743120193481445","17.27005434036255","6","6.96","0.26075291633605957","5149","7644.82","5149","7644.82","5149","7644.82","1","1","17.887120723724365","17.2675199508667","32","8.92","2.1169538497924805","1","","50.23","0"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/ethan_1024_vs_2048/longbench/sparse_prefill_snapkv/00002","finished","-","","","2025-04-23T01:04:01.000Z","259","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/ethan_1024_vs_2048/longbench/sparse_prefill_snapkv/00002.yaml","longbench","50","","triviaqa","0","flash_attention_2","bfloat16","meta-llama/Llama-3.2-1B-Instruct","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","256","max","sparse_prefill_snapkv","32","64","1024","max","1024","0.00012180517758519905","","79.6","1","1","1","4181","12284.98","4181","12284.98","0.0002391772303276728","0.00012180517758519905","17.682093143463135","17.29818630218506","4","58.02","0.2007126808166504","4181","12284.98","4181","12284.98","4181","12284.98","1","1","17.764625549316406","17.267672538757324","32","32","1.7699968814849854","1","","89.93","1"
