"Name","State","Notes","User","Tags","Created","Runtime","Sweep","cfg_file","dataset.dataset_name","target_sparse_config.use_pyramidkv","dataset.num_samples","dataset.seq_len","dataset.task","device","draft_model.attn_implementation","draft_model.dtype","draft_model.model_name_or_path","target_model.attn_implementation","target_model.dtype","target_model.model_name_or_path","target_sparse_config.kernel_size","target_sparse_config.max_capacity_prompt","target_sparse_config.query_aggregation","target_sparse_config.sparse_type","target_sparse_config.window_size","draft_model.num_eval_tokens","target_sparse_config.num_vertical","target_sparse_config.pooling","target_sparse_config.prefill_window_size","skip_cache","target_sparse_config.gqa_attn","target_sparse_config.use_h2o","draft_input_ratio","draft_nulls","draft_score","draft_score_all","perf/draft/compressed_input_size","perf/draft/compressed_input_size_mean","perf/draft/full_input_size","perf/draft/full_input_size_mean","perf/draft/input_length","perf/draft/input_length_mean","perf/draft/input_ratio","perf/draft/input_ratio_mean","perf/draft/mem_gb_after/generate","perf/draft/mem_gb_before/generate","perf/draft/output_length","perf/draft/output_length_mean","perf/draft/time/generate","perf/target/compressed_input_size","perf/target/full_input_size","perf/target/full_input_size_mean","perf/target/input_length","perf/target/output_length_mean","perf/target/time/generate","target_input_ratio","target_nulls","target_score","target_score_all","perf/target/mem_gb_before/generate/prefill_decode"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00031","finished","-","","","2025-04-25T10:02:15.000Z","2107","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00031.yaml","longbench","","","","repobench-p","5","","","","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","","512","","snapkv","32","","","","","","attn_mean","true","","","","","","","","","","","","","","","","","","1","4940","10819.382","4940","64","","0.00013069233449669915","","47.72","0.48","14.99614715576172"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00030","finished","-","","","2025-04-25T10:00:45.000Z","1331","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00030.yaml","longbench","","","","lcc","9","","","","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","","512","","snapkv","32","","","","","","attn_mean","true","","","","","","","","","","","","","","","","","","1","1480","3179.72","1480","64","","0.0004328534482267119","","50.89","0.34","14.996099948883057"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00029","finished","-","","","2025-04-25T09:59:09.000Z","500","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00029.yaml","longbench","","","","passage_retrieval_en","4","","","","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","","512","","snapkv","32","","","","","","attn_mean","true","","","","","","","","","","","","","","","","","","1","14057","12583.895","14057","4.085","","0.00008016233882535924","","100","1","14.968567371368408"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00028","finished","-","","","2025-04-25T09:57:58.000Z","619","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00028.yaml","longbench","","","","passage_count","0","","","","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","","512","","snapkv","32","","","","","","attn_mean","true","","","","","","","","","","","","","","","","","","1","9059","15031.22","9059","3.505","","0.00007505470188349298","","7.42","0","14.966687202453612"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00027","finished","-","","","2025-04-25T09:51:40.000Z","1204","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00027.yaml","longbench","","","","samsum","3","","","","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","","512","","snapkv","32","","","","","","attn_mean","true","","","","","","","","","","","","","","","","","","1","15718","9167.28","15718","128","","0.00015823092645954442","","31.93","0.07999999520000028","15.026830196380615"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00026","finished","-","","","2025-04-25T09:49:34.000Z","669","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00026.yaml","longbench","","","","triviaqa","9","","","","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","","512","","snapkv","32","","","","","","attn_mean","true","","","","","","","","","","","","","","","","","","1","2947","11780.735","2947","32","","0.00012719475142138924","","91.16","1","14.980932235717772"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00025","finished","-","","","2025-04-25T09:47:59.000Z","669","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00025.yaml","longbench","","","","trec","4","","","","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","","512","","snapkv","32","","","","","","attn_mean","true","","","","","","","","","","","","","","","","","","1","4400","6785.595","4400","64","","0.00018547459686536424","","53","0","14.997124671936035"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00024","finished","-","","","2025-04-25T09:47:20.000Z","3310","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00024.yaml","longbench","","","","multi_news","7","","","","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","","512","","snapkv","32","","","","","","attn_mean","true","","","","","","","","","","","","","","","","","","1","366","2704.11","366","480.715","","0.0005925779587848921","","23.41","0.20512820074220184","15.21015453338623"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00023","finished","-","","","2025-04-25T09:45:01.000Z","1350","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00023.yaml","longbench","","","","qmsum","8","","","","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","","512","","snapkv","32","","","","","","attn_mean","true","","","","","","","","","","","","","","","","","","1","8299","13978.58","8299","116.705","","0.00008736811326927721","","23.95","0.19469026048711735","15.036402225494385"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00022","finished","-","","","2025-04-25T09:43:25.000Z","3541","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00022.yaml","longbench","","","","gov_report","1","","","","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","","512","","snapkv","32","","","","","","attn_mean","true","","","","","","","","","","","","","","","","","","1","6415","10337.405","6415","468.7","","0.00013410726854412531","","24.49","0.21809744285032928","15.148630619049072"
