"Name","State","Notes","User","Tags","Created","Runtime","Sweep","cfg_file","dataset.dataset_name","target_sparse_config.use_pyramidkv","dataset.num_samples","dataset.seq_len","dataset.task","device","draft_model.attn_implementation","draft_model.dtype","draft_model.model_name_or_path","target_model.attn_implementation","target_model.dtype","target_model.model_name_or_path","target_sparse_config.kernel_size","target_sparse_config.max_capacity_prompt","target_sparse_config.query_aggregation","target_sparse_config.sparse_type","target_sparse_config.window_size","draft_model.num_eval_tokens","target_sparse_config.num_vertical","target_sparse_config.pooling","target_sparse_config.prefill_window_size","skip_cache","target_sparse_config.gqa_attn","target_sparse_config.use_h2o","draft_input_ratio","draft_nulls","draft_score","draft_score_all","perf/draft/compressed_input_size","perf/draft/compressed_input_size_mean","perf/draft/full_input_size","perf/draft/full_input_size_mean","perf/draft/input_length","perf/draft/input_length_mean","perf/draft/input_ratio","perf/draft/input_ratio_mean","perf/draft/mem_gb_after/generate","perf/draft/mem_gb_before/generate","perf/draft/output_length","perf/draft/output_length_mean","perf/draft/time/generate","perf/target/compressed_input_size","perf/target/full_input_size","perf/target/full_input_size_mean","perf/target/input_length","perf/target/output_length_mean","perf/target/time/generate","target_input_ratio","target_nulls","target_score","target_score_all","perf/target/mem_gb_before/generate/prefill_decode"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00063","finished","-","","","2025-04-25T11:05:30.000Z","2106","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00063.yaml","longbench","true","","","repobench-p","5","","","","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","512","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","","1","4940","10819.382","4940","64","","0.00013069233449669915","","45.2","0.48","14.99614715576172"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00062","finished","-","","","2025-04-25T11:05:23.000Z","1326","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00062.yaml","longbench","true","","","lcc","9","","","","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","512","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","","1","1480","3179.72","1480","63.794","","0.0004328534482267119","","50.05","0.34","14.996099948883057"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00061","finished","-","","","2025-04-25T11:04:32.000Z","500","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00061.yaml","longbench","true","","","passage_retrieval_en","8","","","","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","512","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","","1","14057","12583.895","14057","4.08","","0.00008016233882535924","","99.5","1","14.96796941757202"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00060","finished","-","","","2025-04-25T11:02:28.000Z","611","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00060.yaml","longbench","true","","","passage_count","1","","","","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","512","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","","1","9059","15031.22","9059","2.915","","0.00007505470188349298","","7.75","0","14.966687202453612"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00059","finished","-","","","2025-04-25T10:55:20.000Z","1200","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00059.yaml","longbench","true","","","samsum","6","","","","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","512","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","","1","15718","9167.28","15718","126.675","","0.00015823092645954442","","32.24","0.31999999520000005","15.026830196380615"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00058","finished","-","","","2025-04-25T10:54:11.000Z","670","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00058.yaml","longbench","true","","","triviaqa","9","","","","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","512","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","","1","2947","11780.735","2947","31.865","","0.00012719475142138924","","83.22","1","14.980932235717772"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00057","finished","-","","","2025-04-25T10:51:25.000Z","661","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00057.yaml","longbench","true","","","trec","1","","","","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","512","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","","1","4400","6785.595","4400","64","","0.00018547459686536424","","62","0","14.996150970458984"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00056","finished","-","","","2025-04-25T10:47:44.000Z","3271","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00056.yaml","longbench","true","","","multi_news","7","","","","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","512","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","","1","366","2704.11","366","475.095","","0.0005925779587848921","","22.98","0.27272726820495874","15.21015453338623"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00055","finished","-","","","2025-04-25T10:44:04.000Z","1226","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00055.yaml","longbench","true","","","qmsum","8","","","","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","512","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","","1","8299","13978.58","8299","98.105","","0.00008736811326927721","","24.18","0.29906541557166566","15.053125381469728"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00054","finished","-","","","2025-04-25T10:43:49.000Z","3433","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00054.yaml","longbench","true","","","gov_report","2","","","","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","512","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","","1","6415","10337.405","6415","451.455","","0.00013410726854412531","","23.48","0.24499999518050009","15.166787147521973"
