"Name","State","Notes","User","Tags","Created","Runtime","Sweep","cfg_file","dataset.dataset_name","target_sparse_config.use_pyramidkv","dataset.num_samples","dataset.seq_len","dataset.task","device","draft_model.attn_implementation","draft_model.dtype","draft_model.model_name_or_path","target_model.attn_implementation","target_model.dtype","target_model.model_name_or_path","target_sparse_config.kernel_size","target_sparse_config.max_capacity_prompt","target_sparse_config.query_aggregation","target_sparse_config.sparse_type","target_sparse_config.window_size","draft_model.num_eval_tokens","target_sparse_config.num_vertical","target_sparse_config.pooling","target_sparse_config.prefill_window_size","skip_cache","target_sparse_config.gqa_attn","target_sparse_config.use_h2o","draft_input_ratio","draft_nulls","draft_score","draft_score_all","perf/draft/compressed_input_size","perf/draft/compressed_input_size_mean","perf/draft/full_input_size","perf/draft/full_input_size_mean","perf/draft/input_length","perf/draft/input_length_mean","perf/draft/input_ratio","perf/draft/input_ratio_mean","perf/draft/mem_gb_after/generate","perf/draft/mem_gb_before/generate","perf/draft/output_length","perf/draft/output_length_mean","perf/draft/time/generate","perf/target/compressed_input_size","perf/target/full_input_size","perf/target/full_input_size_mean","perf/target/input_length","perf/target/output_length_mean","perf/target/time/generate","target_input_ratio","target_nulls","target_score","target_score_all","perf/target/mem_gb_before/generate/prefill_decode"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00095","finished","-","","","2025-04-24T15:42:03.000Z","1362","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00095.yaml","longbench","","","","repobench-p","2","","","","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","512","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","","1","4940","10819.382","4940","64","","0.00013069233449669915","","47.37","0.48","15.01946258544922"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00094","finished","-","","","2025-04-24T15:41:12.000Z","970","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00094.yaml","longbench","","","","lcc","1","","","","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","512","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","","1","1480","3179.72","1480","64","","0.0004328534482267119","","51.3","0.34","15.019415378570557"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00093","finished","-","","","2025-04-24T15:37:28.000Z","272","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00093.yaml","longbench","","","","passage_retrieval_en","2","","","","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","512","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","","1","14057","12583.895","14057","4.05","","0.00008016233882535924","","100","1","14.990909099578856"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00092","finished","-","","","2025-04-24T15:32:17.000Z","262","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00092.yaml","longbench","","","","passage_count","2","","","","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","512","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","","1","9059","15031.22","9059","2.855","","0.00007505470188349298","","6.33","0","14.990002632141112"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00091","finished","-","","","2025-04-24T15:26:21.000Z","883","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00091.yaml","longbench","","","","samsum","1","","","","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","512","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","","1","15718","9167.28","15718","127.46","","0.00015823092645954442","","29.67","0.08695651682419688","15.050145626068115"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00090","finished","-","","","2025-04-24T15:24:45.000Z","450","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00090.yaml","longbench","","","","triviaqa","2","","","","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","512","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","","1","2947","11780.735","2947","32","","0.00012719475142138924","","90.84","1","15.004247665405272"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00089","finished","-","","","2025-04-24T15:17:27.000Z","436","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00089.yaml","longbench","","","","trec","2","","","","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","512","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","","1","4400","6785.595","4400","64","","0.00018547459686536424","","63.5","0","15.019466400146484"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00088","finished","-","","","2025-04-24T15:13:43.000Z","2509","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00088.yaml","longbench","","","","multi_news","0","","","","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","512","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","","1","366","2704.11","366","472.055","","0.0005925779587848921","","23.58","0.28108107624017536","15.23346996307373"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00087","finished","-","","","2025-04-24T15:11:46.000Z","873","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00087.yaml","longbench","","","","qmsum","1","","","","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","512","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","","1","8299","13978.58","8299","105.87","","0.00008736811326927721","","24.06","0.22641508935564264","15.081218719482422"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00086","finished","-","","","2025-04-24T15:11:38.000Z","2599","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/full/ssa_and_snapkv/longbench/snapkv/00086.yaml","longbench","","","","gov_report","3","","","","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","512","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","","1","6415","10337.405","6415","450.295","","0.00013410726854412531","","24.21","0.2019230720270896","15.153789520263672"
