"Name","State","Notes","User","Tags","Created","Runtime","Sweep","cfg_file","dataset.dataset_name","target_sparse_config.use_pyramidkv","dataset.num_samples","dataset.seq_len","dataset.task","device","draft_model.attn_implementation","draft_model.dtype","draft_model.model_name_or_path","target_model.attn_implementation","target_model.dtype","target_model.model_name_or_path","target_sparse_config.kernel_size","target_sparse_config.max_capacity_prompt","target_sparse_config.query_aggregation","target_sparse_config.sparse_type","target_sparse_config.window_size","draft_model.num_eval_tokens","target_sparse_config.num_vertical","target_sparse_config.pooling","target_sparse_config.prefill_window_size","skip_cache","target_sparse_config.gqa_attn","target_sparse_config.use_h2o","draft_input_ratio","draft_nulls","draft_score","draft_score_all","perf/draft/compressed_input_size","perf/draft/compressed_input_size_mean","perf/draft/full_input_size","perf/draft/full_input_size_mean","perf/draft/input_length","perf/draft/input_length_mean","perf/draft/input_ratio","perf/draft/input_ratio_mean","perf/draft/mem_gb_after/generate","perf/draft/mem_gb_before/generate","perf/draft/output_length","perf/draft/output_length_mean","perf/draft/time/generate","perf/target/compressed_input_size","perf/target/full_input_size","perf/target/full_input_size_mean","perf/target/input_length","perf/target/output_length_mean","perf/target/time/generate","target_input_ratio","target_nulls","target_score","target_score_all","perf/target/mem_gb_before/generate/prefill_decode"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/full/ssa_and_snapkv/longbench/sparse_prefill_snapkv/00063","finished","-","","","2025-04-24T17:51:48.000Z","1636","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/full/ssa_and_snapkv/longbench/sparse_prefill_snapkv/00063.yaml","longbench","","","","repobench-p","1","flash_attention_2","bfloat16","meta-llama/Llama-3.2-1B-Instruct","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","512","max","sparse_prefill_snapkv","32","","2048","max","2048","","","","0.00013069233449669915","","33.79","0.62","1","1","4940","10819.382","4940","10819.382","0.00020242914979757084","0.00013069233449669915","17.75261640548706","17.299017906188965","64","64","0.7530791759490967","4940","4940","10819.382","4940","64","1.8046331405639648","1","","49.87","0.21",""
"draft1_target1/Llama-3.1-8B-Instruct/ethan/full/ssa_and_snapkv/longbench/sparse_prefill_snapkv/00062","finished","-","","","2025-04-24T17:47:28.000Z","1146","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/full/ssa_and_snapkv/longbench/sparse_prefill_snapkv/00062.yaml","longbench","","","","lcc","0","flash_attention_2","bfloat16","meta-llama/Llama-3.2-1B-Instruct","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","512","max","sparse_prefill_snapkv","32","","2048","max","2048","","","","0.0004328534482267119","","29.38","0.14","1","1","1480","3179.72","1480","3179.72","0.0006756756756756757","0.0004328534482267119","17.43644952774048","17.29893398284912","64","63.972","0.6538114547729492","1480","1480","3179.72","1480","64","1.392543077468872","1","","52.82","0.34",""
"draft1_target1/Llama-3.1-8B-Instruct/ethan/full/ssa_and_snapkv/longbench/sparse_prefill_snapkv/00061","finished","-","","","2025-04-24T17:46:36.000Z","310","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/full/ssa_and_snapkv/longbench/sparse_prefill_snapkv/00061.yaml","longbench","","","","passage_retrieval_en","1","flash_attention_2","bfloat16","meta-llama/Llama-3.2-1B-Instruct","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","512","max","sparse_prefill_snapkv","32","","2048","max","2048","","","","0.00008016233882535924","","4.5","0","1","1","14057","12583.895","14057","12583.895","0.00007113893433876361","0.00008016233882535924","18.561748504638672","17.270464420318604","4","4.11","0.2677168846130371","14057","14057","12583.895","14057","4.025","1.340407133102417","1","","99.5","1",""
"draft1_target1/Llama-3.1-8B-Instruct/ethan/full/ssa_and_snapkv/longbench/sparse_prefill_snapkv/00060","finished","-","","","2025-04-24T17:40:11.000Z","384","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/full/ssa_and_snapkv/longbench/sparse_prefill_snapkv/00060.yaml","longbench","","","","passage_count","1","flash_attention_2","bfloat16","meta-llama/Llama-3.2-1B-Instruct","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","512","max","sparse_prefill_snapkv","32","","2048","max","2048","","","","0.00007505470188349298","","3","0","1","1","9059","15031.22","9059","15031.22","0.00011038745998454576","0.00007505470188349298","18.108173847198486","17.274675369262695","11","10.61","0.2451016902923584","9059","9059","15031.22","9059","4.68","1.1390368938446045","1","","5.28","0",""
"draft1_target1/Llama-3.1-8B-Instruct/ethan/full/ssa_and_snapkv/longbench/sparse_prefill_snapkv/00059","finished","-","","","2025-04-24T17:33:36.000Z","830","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/full/ssa_and_snapkv/longbench/sparse_prefill_snapkv/00059.yaml","longbench","","","","samsum","0","flash_attention_2","bfloat16","meta-llama/Llama-3.2-1B-Instruct","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","512","max","sparse_prefill_snapkv","32","","2048","max","2048","","","","0.00015823092645954442","","38.4","0.26086956030245756","1","1","15718","9167.28","15718","9167.28","0.0000636213258684311","0.00015823092645954442","18.734721183776855","17.29144048690796","19","51.77","0.448246717453003","15718","15718","9167.28","15718","128","3.833378314971924","1","","30.76","0.33333332839506175",""
"draft1_target1/Llama-3.1-8B-Instruct/ethan/full/ssa_and_snapkv/longbench/sparse_prefill_snapkv/00058","finished","-","","","2025-04-24T17:32:27.000Z","462","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/full/ssa_and_snapkv/longbench/sparse_prefill_snapkv/00058.yaml","longbench","","","","triviaqa","1","flash_attention_2","bfloat16","meta-llama/Llama-3.2-1B-Instruct","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","512","max","sparse_prefill_snapkv","32","","2048","max","2048","","","","0.00012719475142138924","","79.35","1","1","1","2947","11780.735","2947","11780.735","0.00033932813030200206","0.00012719475142138924","17.554879665374756","17.28380298614502","32","29.96","0.37389135360717773","2947","2947","11780.735","2947","32","0.9116501808166504","1","","92.18","1",""
"draft1_target1/Llama-3.1-8B-Instruct/ethan/full/ssa_and_snapkv/longbench/sparse_prefill_snapkv/00057","finished","-","","","2025-04-24T17:22:59.000Z","566","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/full/ssa_and_snapkv/longbench/sparse_prefill_snapkv/00057.yaml","longbench","","","","trec","1","flash_attention_2","bfloat16","meta-llama/Llama-3.2-1B-Instruct","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","512","max","sparse_prefill_snapkv","32","","2048","max","2048","","","","0.00018547459686536424","","64","1","1","1","4400","6785.595","4400","6785.595","0.00022727272727272727","0.00018547459686536424","17.70440912246704","17.29902172088623","64","64","0.7379167079925537","4400","4400","6785.595","4400","64","1.7446229457855225","1","","66.5","0",""
"draft1_target1/Llama-3.1-8B-Instruct/ethan/full/ssa_and_snapkv/longbench/sparse_prefill_snapkv/00056","finished","-","","","2025-04-24T17:18:13.000Z","2865","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/full/ssa_and_snapkv/longbench/sparse_prefill_snapkv/00056.yaml","longbench","","","","multi_news","2","flash_attention_2","bfloat16","meta-llama/Llama-3.2-1B-Instruct","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","512","max","sparse_prefill_snapkv","32","","2048","max","2048","","","","0.0005925779587848921","","26.14","0.29473683730526323","1","1","366","2704.11","366","2704.11","0.00273224043715847","0.0005925779587848921","17.633022785186768","17.42268466949463","202","414.49","2.086114406585694","366","366","2704.11","366","469.135","6.213325262069702","1","","24.94","0.2604166618836806",""
"draft1_target1/Llama-3.1-8B-Instruct/ethan/full/ssa_and_snapkv/longbench/sparse_prefill_snapkv/00055","finished","-","","","2025-04-24T17:17:17.000Z","978","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/full/ssa_and_snapkv/longbench/sparse_prefill_snapkv/00055.yaml","longbench","","","","qmsum","0","flash_attention_2","bfloat16","meta-llama/Llama-3.2-1B-Instruct","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","512","max","sparse_prefill_snapkv","32","","2048","max","2048","","","","0.00008736811326927721","","22.02","0.2526315741074793","1","1","8299","13978.58","8299","13978.58","0.00012049644535486204","0.00008736811326927721","18.134193420410156","17.370293140411377","59","103.53","0.7156128883361816","8299","8299","13978.58","8299","104.745","3.155052900314331","1","","24.17","0.29310344328180743",""
"draft1_target1/Llama-3.1-8B-Instruct/ethan/full/ssa_and_snapkv/longbench/sparse_prefill_snapkv/00054","finished","-","","","2025-04-24T17:17:02.000Z","2834","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/full/ssa_and_snapkv/longbench/sparse_prefill_snapkv/00054.yaml","longbench","","","","gov_report","3","flash_attention_2","bfloat16","meta-llama/Llama-3.2-1B-Instruct","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","512","max","sparse_prefill_snapkv","32","","2048","max","2048","","","","0.00013410726854412531","","29.53","0.22994651943607203","1","1","6415","10337.405","6415","10337.405","0.0001558846453624318","0.00013410726854412531","18.031049251556396","17.40034008026123","441","397.625","4.596629858016968","6415","6415","10337.405","6415","423.23","10.3450665473938","1","","28.68","0.20398009467191416",""
"draft1_target1/Llama-3.1-8B-Instruct/ethan/full/ssa_and_snapkv/longbench/sparse_prefill_snapkv/00053","finished","-","","","2025-04-24T17:16:15.000Z","402","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/full/ssa_and_snapkv/longbench/sparse_prefill_snapkv/00053.yaml","longbench","","","","musique","1","flash_attention_2","bfloat16","meta-llama/Llama-3.2-1B-Instruct","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","512","max","sparse_prefill_snapkv","32","","2048","max","2048","","","","0.00006485693755291553","","18.56","0","1","1","16408","15678.51","16408","15678.51","0.00006094588005850804","0.00006485693755291553","18.77759790420532","17.270997047424316","4","6.53","0.31703710556030273","16408","16408","15678.51","16408","7.695","1.59856915473938","1","","27.89","1",""
"draft1_target1/Llama-3.1-8B-Instruct/ethan/full/ssa_and_snapkv/longbench/sparse_prefill_snapkv/00052","finished","-","","","2025-04-24T17:12:39.000Z","215","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/full/ssa_and_snapkv/longbench/sparse_prefill_snapkv/00052.yaml","longbench","","","","2wikimqa","1","flash_attention_2","bfloat16","meta-llama/Llama-3.2-1B-Instruct","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","512","max","sparse_prefill_snapkv","32","","2048","max","2048","","","","0.0001808619639708152","","30.79","0","1","1","5636","7230.25","5636","7230.25","0.000177430801987225","0.0001808619639708152","17.792357444763184","17.2705979347229","3","6.26","0.10531210899353027","5636","5636","7230.25","5636","7.985","0.5992968082427979","1","","46.03","1",""
"draft1_target1/Llama-3.1-8B-Instruct/ethan/full/ssa_and_snapkv/longbench/sparse_prefill_snapkv/00051","finished","-","","","2025-04-24T17:11:49.000Z","326","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/full/ssa_and_snapkv/longbench/sparse_prefill_snapkv/00051.yaml","longbench","","","","hotpotqa","0","flash_attention_2","bfloat16","meta-llama/Llama-3.2-1B-Instruct","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","512","max","sparse_prefill_snapkv","32","","2048","max","2048","","","","0.00009191986362752184","","33.36","1","1","1","6396","12916.28","6396","12916.28","0.00015634771732332708","0.00009191986362752184","17.858010292053223","17.27065134048462","2","5.585","0.10287928581237792","6396","6396","12916.28","6396","6.25","0.6183133125305176","1","","55.9","1",""
"draft1_target1/Llama-3.1-8B-Instruct/ethan/full/ssa_and_snapkv/longbench/sparse_prefill_snapkv/00050","finished","-","","","2025-04-24T17:08:46.000Z","231","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/full/ssa_and_snapkv/longbench/sparse_prefill_snapkv/00050.yaml","longbench","","","","multifieldqa_en","1","flash_attention_2","bfloat16","meta-llama/Llama-3.2-1B-Instruct","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","512","max","sparse_prefill_snapkv","32","","2048","max","2048","","","","0.00020015188689644515","","40.99","0.7222222222222222","1","1","9908","7001.013333333333","9908","7001.013333333333","0.00010092854259184496","0.00020015188689644515","18.209596633911133","17.29668092727661","31","23.906666666666663","0.4762389659881592","9908","9908","7001.013333333333","9908","21.886666666666667","1.5201234817504885","1","","56.56","0.7428571428571429",""
"draft1_target1/Llama-3.1-8B-Instruct/ethan/full/ssa_and_snapkv/longbench/sparse_prefill_snapkv/00049","finished","-","","","2025-04-24T17:07:22.000Z","265","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/full/ssa_and_snapkv/longbench/sparse_prefill_snapkv/00049.yaml","longbench","","","","qasper","0","flash_attention_2","bfloat16","meta-llama/Llama-3.2-1B-Instruct","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","512","max","sparse_prefill_snapkv","32","","2048","max","2048","","","","0.00022898966084607036","","21.39","0.2857142857142857","1","1","6875","5150.47","6875","5150.47","0.00014545454545454546","0.00022898966084607036","17.901580810546875","17.27030897140503","20","18.28","0.2896389961242676","6875","6875","5150.47","6875","26.46","1.2399187088012695","1","","41.44","0.2",""
"draft1_target1/Llama-3.1-8B-Instruct/ethan/full/ssa_and_snapkv/longbench/sparse_prefill_snapkv/00048","finished","-","","","2025-04-24T17:04:07.000Z","774","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/full/ssa_and_snapkv/longbench/sparse_prefill_snapkv/00048.yaml","longbench","","","","narrativeqa","3","flash_attention_2","bfloat16","meta-llama/Llama-3.2-1B-Instruct","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","512","max","sparse_prefill_snapkv","32","","2048","max","2048","","","","0.0000492607562361452","","19.19","0","1","1","32998","29931.065","32998","29931.065","0.000030304866961634037","0.0000492607562361452","20.300711631774902","17.270801067352295","13","16.355","0.8440067768096924","32998","32998","29931.065","32998","9.86","3.044743776321411","1","","29.69","0.125",""
"draft1_target1/Llama-3.1-8B-Instruct/ethan/full/ssa_and_snapkv/longbench/sparse_prefill_snapkv/00031","finished","-","","","2025-04-24T15:52:17.000Z","1572","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/full/ssa_and_snapkv/longbench/sparse_prefill_snapkv/00031.yaml","longbench","","","","repobench-p","0","flash_attention_2","bfloat16","meta-llama/Llama-3.2-1B-Instruct","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","256","max","sparse_prefill_snapkv","32","","2048","max","2048","","","","0.00013069233449669915","","33.79","0.62","1","1","4940","10819.382","4940","10819.382","0.00020242914979757084","0.00013069233449669915","17.75257968902588","17.298981189727783","64","64","0.703139066696167","4940","4940","10819.382","4940","63.964","1.7191851139068604","1","","49.83","0.28",""
