"Name","State","Notes","User","Tags","Created","Runtime","Sweep","cfg_file","dataset.dataset_name","target_sparse_config.use_pyramidkv","dataset.num_samples","dataset.seq_len","dataset.task","device","draft_model.attn_implementation","draft_model.dtype","draft_model.model_name_or_path","target_model.attn_implementation","target_model.dtype","target_model.model_name_or_path","target_sparse_config.kernel_size","target_sparse_config.max_capacity_prompt","target_sparse_config.query_aggregation","target_sparse_config.sparse_type","target_sparse_config.window_size","draft_model.num_eval_tokens","target_sparse_config.num_vertical","target_sparse_config.pooling","target_sparse_config.prefill_window_size","skip_cache","target_sparse_config.gqa_attn","target_sparse_config.use_h2o","draft_input_ratio","draft_nulls","draft_score","draft_score_all","perf/draft/compressed_input_size","perf/draft/compressed_input_size_mean","perf/draft/full_input_size","perf/draft/full_input_size_mean","perf/draft/input_length","perf/draft/input_length_mean","perf/draft/input_ratio","perf/draft/input_ratio_mean","perf/draft/mem_gb_after/generate","perf/draft/mem_gb_before/generate","perf/draft/output_length","perf/draft/output_length_mean","perf/draft/time/generate","perf/target/compressed_input_size","perf/target/full_input_size","perf/target/full_input_size_mean","perf/target/input_length","perf/target/output_length_mean","perf/target/time/generate","target_input_ratio","target_nulls","target_score","target_score_all","perf/target/mem_gb_before/generate/prefill_decode"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00095","finished","-","","","2025-04-25T12:06:41.000Z","2083","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00095.yaml","longbench","","","","repobench-p","7","","","","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","","512","","streamingllm","32","","","","","","","","","","","","","","","","","","","","","","","","","1","4940","10819.382","4940","63.764","","0.00013069233449669915","","35.3","0.57","14.99614715576172"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00094","finished","-","","","2025-04-25T12:05:40.000Z","1355","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00094.yaml","longbench","","","","lcc","8","","","","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","","512","","streamingllm","32","","","","","","","","","","","","","","","","","","","","","","","","","1","1480","3179.72","1480","63.928","","0.0004328534482267119","","39.21","0.26","14.996099948883057"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00093","finished","-","","","2025-04-25T12:03:58.000Z","489","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00093.yaml","longbench","","","","passage_retrieval_en","0","","","","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","","512","","streamingllm","32","","","","","","","","","","","","","","","","","","","","","","","","","1","14057","12583.895","14057","4.015","","0.00008016233882535924","","98","1","14.96764326095581"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00092","finished","-","","","2025-04-25T12:02:19.000Z","603","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00092.yaml","longbench","","","","passage_count","1","","","","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","","512","","streamingllm","32","","","","","","","","","","","","","","","","","","","","","","","","","1","9059","15031.22","9059","2.695","","0.00007505470188349298","","8","0","14.966687202453612"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00091","finished","-","","","2025-04-25T11:58:08.000Z","1200","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00091.yaml","longbench","","","","samsum","2","","","","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","","512","","streamingllm","32","","","","","","","","","","","","","","","","","","","","","","","","","1","15718","9167.28","15718","127.435","","0.00015823092645954442","","22.35","0.11111110617283972","15.026830196380615"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00090","finished","-","","","2025-04-25T11:57:05.000Z","655","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00090.yaml","longbench","","","","triviaqa","3","","","","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","","512","","streamingllm","32","","","","","","","","","","","","","","","","","","","","","","","","","1","2947","11780.735","2947","32","","0.00012719475142138924","","75.91","0","14.980932235717772"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00089","finished","-","","","2025-04-25T11:51:21.000Z","657","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00089.yaml","longbench","","","","trec","1","","","","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","","512","","streamingllm","32","","","","","","","","","","","","","","","","","","","","","","","","","1","4400","6785.595","4400","64","","0.00018547459686536424","","59.5","0","14.996150970458984"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00088","finished","-","","","2025-04-25T11:48:00.000Z","3032","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00088.yaml","longbench","","","","multi_news","6","","","","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","","512","","streamingllm","32","","","","","","","","","","","","","","","","","","","","","","","","","1","366","2704.11","366","438.57","","0.0005925779587848921","","24.81","0.20512820074220184","15.198687076568604"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00087","finished","-","","","2025-04-25T11:47:15.000Z","1165","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00087.yaml","longbench","","","","qmsum","7","","","","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","","512","","streamingllm","32","","","","","","","","","","","","","","","","","","","","","","","","","1","8299","13978.58","8299","90.79","","0.00008736811326927721","","21.77","0.26890755804251115","15.029235363006592"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00086","finished","-","","","2025-04-25T11:47:12.000Z","3066","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/streamingllm/00086.yaml","longbench","","","","gov_report","9","","","","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","","512","","streamingllm","32","","","","","","","","","","","","","","","","","","","","","","","","","1","6415","10337.405","6415","397.355","","0.00013410726854412531","","25.89","0.22278480533683712","15.126651763916016"
