"Name","State","Notes","User","Tags","Created","Runtime","Sweep","cfg_file","dataset.dataset_name","target_sparse_config.use_pyramidkv","dataset.num_samples","dataset.seq_len","dataset.task","device","draft_model.attn_implementation","draft_model.dtype","draft_model.model_name_or_path","target_model.attn_implementation","target_model.dtype","target_model.model_name_or_path","target_sparse_config.kernel_size","target_sparse_config.max_capacity_prompt","target_sparse_config.query_aggregation","target_sparse_config.sparse_type","target_sparse_config.window_size","draft_model.num_eval_tokens","target_sparse_config.num_vertical","target_sparse_config.pooling","target_sparse_config.prefill_window_size","skip_cache","target_sparse_config.gqa_attn","target_sparse_config.use_h2o","draft_input_ratio","draft_nulls","draft_score","draft_score_all","perf/draft/compressed_input_size","perf/draft/compressed_input_size_mean","perf/draft/full_input_size","perf/draft/full_input_size_mean","perf/draft/input_length","perf/draft/input_length_mean","perf/draft/input_ratio","perf/draft/input_ratio_mean","perf/draft/mem_gb_after/generate","perf/draft/mem_gb_before/generate","perf/draft/output_length","perf/draft/output_length_mean","perf/draft/time/generate","perf/target/compressed_input_size","perf/target/full_input_size","perf/target/full_input_size_mean","perf/target/input_length","perf/target/output_length_mean","perf/target/time/generate","target_input_ratio","target_nulls","target_score","target_score_all","perf/target/mem_gb_before/generate/prefill_decode"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00031","finished","-","","","2025-04-25T13:56:10.000Z","3778","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00031.yaml","longbench","","","","repobench-p","5","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","","512","","snapkv","32","","","","","","attn_mean","true","","","","","","","","","","","","","","","","","","1","4998","10931.618","4998","63.796","","0.0001294151394040892","","42.91","0.58","27.698221683502197"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00030","finished","-","","","2025-04-25T13:54:59.000Z","2337","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00030.yaml","longbench","","","","lcc","7","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","","512","","snapkv","32","","","","","","attn_mean","true","","","","","","","","","","","","","","","","","","1","1483","3225.888","1483","64","","0.00042873867200585424","","56.64","1","27.698173999786377"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00029","finished","-","","","2025-04-25T13:50:20.000Z","1046","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00029.yaml","longbench","","","","passage_retrieval_en","4","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","","512","","snapkv","32","","","","","","attn_mean","true","","","","","","","","","","","","","","","","","","1","14443","12944.12","14443","13.065","","0.00007794958984045504","","98.5","1","27.6671838760376"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00028","finished","-","","","2025-04-25T13:44:55.000Z","1418","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00028.yaml","longbench","","","","passage_count","2","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","","512","","snapkv","32","","","","","","attn_mean","true","","","","","","","","","","","","","","","","","","1","9261","15440.69","9261","25.505","","0.00007304470930019384","","10.72","0","27.6678729057312"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00027","finished","-","","","2025-04-25T13:38:25.000Z","2115","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00027.yaml","longbench","","","","samsum","6","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","","512","","snapkv","32","","","","","","attn_mean","true","","","","","","","","","","","","","","","","","","1","15779","9196.89","15779","128","","0.00015764750686920445","","30.43","0.3846153798816568","27.734581470489506"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00026","finished","-","","","2025-04-25T13:29:58.000Z","1220","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00026.yaml","longbench","","","","triviaqa","4","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","","512","","snapkv","32","","","","","","attn_mean","true","","","","","","","","","","","","","","","","","","1","3056","12208.04","3056","30.045","","0.00012263656266205122","","85.42","1","27.68017292022705"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00025","finished","-","","","2025-04-25T13:25:21.000Z","1172","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00025.yaml","longbench","","","","trec","2","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","","512","","snapkv","32","","","","","","attn_mean","true","","","","","","","","","","","","","","","","","","1","4440","6843.935","4440","64","","0.00018398760766529575","","44.5","0","27.69822597503662"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00024","finished","-","","","2025-04-25T13:25:15.000Z","5095","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00024.yaml","longbench","","","","multi_news","9","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","","512","","snapkv","32","","","","","","attn_mean","true","","","","","","","","","","","","","","","","","","1","332","2715.675","332","426.68","","0.000607490545145527","","19.1","0.200836815746223","27.9529390335083"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00023","finished","-","","","2025-04-25T13:18:06.000Z","2282","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00023.yaml","longbench","","","","qmsum","5","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","","512","","snapkv","32","","","","","","attn_mean","true","","","","","","","","","","","","","","","","","","1","8265","13975.69","8265","107.37","","0.00008761203814127868","","21.78","0.24299064921652555","27.73346376419067"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00021","finished","-","","","2025-04-25T13:16:28.000Z","1315","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00021.yaml","longbench","","","","musique","6","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","","512","","snapkv","32","","","","","","attn_mean","true","","","","","","","","","","","","","","","","","","1","17207","16371.73","17207","9.915","","0.00006212628936475146","","33.47","1","27.666111946105957"
