"Name","State","Notes","User","Tags","Created","Runtime","Sweep","cfg_file","dataset.dataset_name","dataset.num_samples","dataset.seq_len","dataset.task","device","draft_model.attn_implementation","draft_model.dtype","draft_model.model_name_or_path","target_model.attn_implementation","target_model.dtype","target_model.model_name_or_path","target_sparse_config.kernel_size","target_sparse_config.max_capacity_prompt","target_sparse_config.query_aggregation","target_sparse_config.sparse_type","target_sparse_config.window_size","draft_model.num_eval_tokens","target_sparse_config.num_vertical","target_sparse_config.pooling","target_sparse_config.prefill_window_size","skip_cache","target_sparse_config.gqa_attn","draft_input_ratio","draft_nulls","draft_score","draft_score_all","perf/draft/compressed_input_size","perf/draft/compressed_input_size_mean","perf/draft/full_input_size","perf/draft/full_input_size_mean","perf/draft/input_length","perf/draft/input_length_mean","perf/draft/input_ratio","perf/draft/input_ratio_mean","perf/draft/mem_gb_after/generate","perf/draft/mem_gb_before/generate","perf/draft/output_length","perf/draft/output_length_mean","perf/draft/time/generate","perf/target/compressed_input_size","perf/target/full_input_size","perf/target/full_input_size_mean","perf/target/input_length","perf/target/output_length_mean","perf/target/time/generate","target_input_ratio","target_nulls","target_score","target_score_all","perf/target/mem_gb_before/generate/prefill_decode"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00063","finished","-","","","2025-04-25T15:45:25.000Z","3768","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00063.yaml","longbench","","","repobench-p","7","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","512","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","1","4998","10931.618","4998","63.698","","0.0001294151394040892","","40.33","0.33","27.698221683502197"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00062","finished","-","","","2025-04-25T15:41:55.000Z","2331","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00062.yaml","longbench","","","lcc","2","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","512","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","1","1483","3225.888","1483","64","","0.00042873867200585424","","54.77","0.92","27.698173999786377"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00061","finished","-","","","2025-04-25T15:40:04.000Z","1026","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00061.yaml","longbench","","","passage_retrieval_en","4","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","512","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","1","14443","12944.12","14443","11.225","","0.00007794958984045504","","98.75","1","27.667685508728027"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00060","finished","-","","","2025-04-25T15:38:23.000Z","1425","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00060.yaml","longbench","","","passage_count","6","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","512","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","1","9261","15440.69","9261","24.97","","0.00007304470930019384","","7.91","0","27.66723585128784"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00059","finished","-","","","2025-04-25T15:29:40.000Z","2098","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00059.yaml","longbench","","","samsum","3","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","512","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","1","15779","9196.89","15779","127.295","","0.00015764750686920445","","28.58","0.08695651682419688","27.734581470489506"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00058","finished","-","","","2025-04-25T15:29:01.000Z","1148","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00058.yaml","longbench","","","triviaqa","9","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","512","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","1","3056","12208.04","3056","23.745","","0.00012263656266205122","","82.79","1","27.68017292022705"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00057","finished","-","","","2025-04-25T15:20:30.000Z","1173","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00057.yaml","longbench","","","trec","4","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","512","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","1","4440","6843.935","4440","64","","0.00018398760766529575","","62.5","0","27.69822597503662"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00056","finished","-","","","2025-04-25T15:14:24.000Z","4936","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00056.yaml","longbench","","","multi_news","1","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","512","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","1","332","2715.675","332","413.32","","0.000607490545145527","","17.68","0.23580785582731076","27.9089093208313"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00055","finished","-","","","2025-04-25T15:10:11.000Z","2171","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00055.yaml","longbench","","","qmsum","0","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","512","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","1","8265","13975.69","8265","98.435","","0.00008761203814127868","","21.22","0.23214285214285724","27.732330799102783"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00054","finished","-","","","2025-04-25T15:09:12.000Z","5135","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00054.yaml","longbench","","","gov_report","5","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","512","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","1","6628","10652.425","6628","377.36","","0.00013064313532651164","","20.6","0.19371727278967144","27.92148733139038"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00053","finished","-","","","2025-04-25T15:08:19.000Z","1279","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00053.yaml","longbench","","","musique","3","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","512","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","1","17207","16371.73","17207","8.62","","0.00006212628936475146","","35.01","1","27.666111946105957"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00052","finished","-","","","2025-04-25T15:04:52.000Z","570","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00052.yaml","longbench","","","2wikimqa","1","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","512","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","1","6025","7575.015","6025","6.59","","0.00017279060889681578","","55.91","1","27.66367483139038"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00051","finished","-","","","2025-04-25T15:03:23.000Z","1025","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00051.yaml","longbench","","","hotpotqa","4","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","512","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","1","6621","13475.455","6621","5.895","","0.00008813655980975478","","59.3","1","27.664333820343018"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00050","finished","-","","","2025-04-25T14:59:10.000Z","601","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00050.yaml","longbench","","","multifieldqa_en","5","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","512","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","1","9924","7198.52","9924","28.78","","0.0001938149754756793","","47.51","0.31034482758620696","27.698280334472656"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00049","finished","-","","","2025-04-25T14:53:05.000Z","705","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00049.yaml","longbench","","","qasper","1","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","512","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","1","6909","5221.42","6909","32.655","","0.0002264812231859225","","35.18","0.0851063829787234","27.66422748565674"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00048","finished","-","","","2025-04-25T14:52:52.000Z","3151","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00048.yaml","longbench","","","narrativeqa","7","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","512","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","1","32994","29957.975","32994","16.89","","0.00004914631991457161","","24.85","0.10526315789473684","27.66746759414673"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00047","finished","-","","","2025-04-25T14:50:49.000Z","3767","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00047.yaml","longbench","","","repobench-p","8","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","256","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","1","4998","10931.618","4998","63.702","","0.0001294151394040892","","33.75","0.48","27.698221683502197"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00046","finished","-","","","2025-04-25T14:50:12.000Z","2327","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00046.yaml","longbench","","","lcc","9","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","256","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","1","1483","3225.888","1483","64","","0.00042873867200585424","","48.72","0.92","27.698173999786377"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00045","finished","-","","","2025-04-25T14:45:00.000Z","1101","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00045.yaml","longbench","","","passage_retrieval_en","4","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","256","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","1","14443","12944.12","14443","17.96","","0.00007794958984045504","","92","1","27.68021297454834"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00044","finished","-","","","2025-04-25T14:43:48.000Z","1470","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00044.yaml","longbench","","","passage_count","3","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","256","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","1","9261","15440.69","9261","30.66","","0.00007304470930019384","","9.2","0","27.680265426635746"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00043","finished","-","","","2025-04-25T14:35:44.000Z","2066","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00043.yaml","longbench","","","samsum","0","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","256","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","1","15779","9196.89","15779","124.495","","0.00015764750686920445","","30.98","0.05882352525951587","27.734581470489506"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00042","finished","-","","","2025-04-25T14:33:58.000Z","1132","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00042.yaml","longbench","","","triviaqa","7","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","256","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","1","3056","12208.04","3056","22.925","","0.00012263656266205122","","83.21","1","27.68017292022705"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00041","finished","-","","","2025-04-25T14:25:28.000Z","1170","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/streamllm_h2o_pyr/longbench/snapkv/00041.yaml","longbench","","","trec","4","","","","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","256","","snapkv","32","","","avgpool","","","attn_mean","","","","","","","","","","","","","","","","","","1","4440","6843.935","4440","63.93","","0.00018398760766529575","","47.5","0","27.69822597503662"
