"Name","State","Notes","User","Tags","Created","Runtime","Sweep","cfg_file","dataset.dataset_name","target_sparse_config.use_pyramidkv","dataset.num_samples","dataset.seq_len","dataset.task","device","draft_model.attn_implementation","draft_model.dtype","draft_model.model_name_or_path","target_model.attn_implementation","target_model.dtype","target_model.model_name_or_path","target_sparse_config.kernel_size","target_sparse_config.max_capacity_prompt","target_sparse_config.query_aggregation","target_sparse_config.sparse_type","target_sparse_config.window_size","draft_model.num_eval_tokens","target_sparse_config.num_vertical","target_sparse_config.pooling","target_sparse_config.prefill_window_size","skip_cache","target_sparse_config.gqa_attn","target_sparse_config.use_h2o","draft_input_ratio","draft_nulls","draft_score","draft_score_all","perf/draft/compressed_input_size","perf/draft/compressed_input_size_mean","perf/draft/full_input_size","perf/draft/full_input_size_mean","perf/draft/input_length","perf/draft/input_length_mean","perf/draft/input_ratio","perf/draft/input_ratio_mean","perf/draft/mem_gb_after/generate","perf/draft/mem_gb_before/generate","perf/draft/output_length","perf/draft/output_length_mean","perf/draft/time/generate","perf/target/compressed_input_size","perf/target/full_input_size","perf/target/full_input_size_mean","perf/target/input_length","perf/target/output_length_mean","perf/target/time/generate","target_input_ratio","target_nulls","target_score","target_score_all","perf/target/mem_gb_before/generate/prefill_decode"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/sparse_prefill_snapkv/00022","finished","-","","","2025-04-26T02:52:59.000Z","4712","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/sparse_prefill_snapkv/00022.yaml","longbench","","","","gov_report","1","flash_attention_2","bfloat16","Qwen/Qwen2.5-0.5B-Instruct","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","512","max","sparse_prefill_snapkv","32","","2048","max","2048","","","","0.00013064313532651164","","23.89","0.16666666187072762","1","1","6628","10652.425","6628","10652.425","0.00015087507543753772","0.00013064313532651164","1.7442336082458496","1.2257742881774902","387","456.98","6.308315277099609","6628","6628","10652.425","6628","385.4","14.31539273262024","1","","27.29","0.21276595252530345",""
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/sparse_prefill_snapkv/00006","finished","-","","","2025-04-26T02:52:58.000Z","4455","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/sparse_prefill_snapkv/00006.yaml","longbench","","","","gov_report","0","flash_attention_2","bfloat16","Qwen/Qwen2.5-0.5B-Instruct","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","256","max","sparse_prefill_snapkv","32","","2048","max","2048","","","","0.00013064313532651164","","23.89","0.16666666187072762","1","1","6628","10652.425","6628","10652.425","0.00015087507543753772","0.00013064313532651164","1.7442336082458496","1.2257742881774902","387","456.98","6.280565977096558","6628","6628","10652.425","6628","372.54","10.119415760040283","1","","25.82","0.1799999951805001",""
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/sparse_prefill_snapkv/00031","finished","-","","","2025-04-25T06:49:49.000Z","4302","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/sparse_prefill_snapkv/00031.yaml","longbench","","","","repobench-p","0","flash_attention_2","bfloat16","Qwen/Qwen2.5-0.5B-Instruct","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","512","max","sparse_prefill_snapkv","32","","2048","max","2048","","","","0.0001294151394040892","","33.9","0.29","1","1","4998","10931.618","4998","10931.618","0.0002000800320128051","0.0001294151394040892","28.703754901885983","28.475808143615723","64","63.832","1.0282423496246338","4998","4998","10931.618","4998","63.916","5.364388465881348","1","","48.83","0.35",""
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/sparse_prefill_snapkv/00030","finished","-","","","2025-04-25T06:49:44.000Z","2912","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/sparse_prefill_snapkv/00030.yaml","longbench","","","","lcc","2","flash_attention_2","bfloat16","Qwen/Qwen2.5-0.5B-Instruct","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","512","max","sparse_prefill_snapkv","32","","2048","max","2048","","","","0.00042873867200585424","","32.66","0.43","1","1","1483","3225.888","1483","3225.888","0.0006743088334457181","0.00042873867200585424","28.565925121307373","28.475760459899902","64","63.73","1.0226311683654783","1483","1483","3225.888","1483","64","4.187006950378418","1","","56.66","1",""
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/sparse_prefill_snapkv/00029","finished","-","","","2025-04-25T06:45:55.000Z","1193","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/sparse_prefill_snapkv/00029.yaml","longbench","","","","passage_retrieval_en","4","flash_attention_2","bfloat16","Qwen/Qwen2.5-0.5B-Instruct","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","512","max","sparse_prefill_snapkv","32","","2048","max","2048","","","","0.00007794958984045504","","4.5","0","1","1","14443","12944.12","14443","12944.12","0.00006923769300006924","0.00007794958984045504","29.10105800628662","28.44246625900269","4","4.025","0.31681108474731445","14443","14443","12944.12","14443","20.67","5.376712083816528","1","","91.33","1",""
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/sparse_prefill_snapkv/00028","finished","-","","","2025-04-25T06:40:45.000Z","1463","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/sparse_prefill_snapkv/00028.yaml","longbench","","","","passage_count","1","flash_attention_2","bfloat16","Qwen/Qwen2.5-0.5B-Instruct","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","512","max","sparse_prefill_snapkv","32","","2048","max","2048","","","","0.00007304470930019384","","0","0","1","1","9261","15440.69","9261","15440.69","0.00010797969981643452","0.00007304470930019384","28.863404750823975","28.44088649749756","2","2.005","0.1757817268371582","9261","9261","15440.69","9261","29.255","4.928152322769165","1","","5.35","0",""
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/sparse_prefill_snapkv/00027","finished","-","","","2025-04-25T06:39:58.000Z","2577","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/sparse_prefill_snapkv/00027.yaml","longbench","","","","samsum","3","flash_attention_2","bfloat16","Qwen/Qwen2.5-0.5B-Instruct","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","512","max","sparse_prefill_snapkv","32","","2048","max","2048","","","","0.00015764750686920445","","34.17","0.24999999513888896","1","1","15779","9196.89","15779","9196.89","0.00006337537233031244","0.00015764750686920445","29.231772422790527","28.51235055923462","128","128","2.2122223377227783","15779","15779","9196.89","15779","127.96","12.814014911651611","1","","27.4","0.06249999570312531",""
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/sparse_prefill_snapkv/00026","finished","-","","","2025-04-25T06:27:26.000Z","1341","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/sparse_prefill_snapkv/00026.yaml","longbench","","","","triviaqa","0","flash_attention_2","bfloat16","Qwen/Qwen2.5-0.5B-Instruct","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","512","max","sparse_prefill_snapkv","32","","2048","max","2048","","","","0.00012263656266205122","","65.64","0","1","1","3056","12208.04","3056","12208.04","0.0003272251308900524","0.00012263656266205122","28.597032070159912","28.45777463912964","32","30.955","0.5080633163452148","3056","3056","12208.04","3056","31.85","2.794491767883301","1","","88.42","1",""
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/sparse_prefill_snapkv/00025","finished","-","","","2025-04-25T06:25:56.000Z","1427","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/sparse_prefill_snapkv/00025.yaml","longbench","","","","trec","2","flash_attention_2","bfloat16","Qwen/Qwen2.5-0.5B-Instruct","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","512","max","sparse_prefill_snapkv","32","","2048","max","2048","","","","0.00018398760766529575","","63.5","0","1","1","4440","6843.935","4440","6843.935","0.00022522522522522523","0.00018398760766529575","28.68131399154663","28.475812435150143","64","64","1.046820878982544","4440","4440","6843.935","4440","64","5.176900863647461","1","","73","0",""
"draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/sparse_prefill_snapkv/00024","finished","-","","","2025-04-25T06:21:00.000Z","6242","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/full/ssa_and_snapkv/longbench/sparse_prefill_snapkv/00024.yaml","longbench","","","","multi_news","9","flash_attention_2","bfloat16","Qwen/Qwen2.5-0.5B-Instruct","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","512","max","sparse_prefill_snapkv","32","","2048","max","2048","","","","0.000607490545145527","","20.41","0.2352941126472725","1","1","332","2715.675","332","2715.675","0.0030120481927710845","0.000607490545145527","28.88749647140503","28.72933530807495","135","400.67","2.1426618099212646","332","332","2715.675","332","407.385","15.072159051895142","1","","21.62","0.200836815746223",""
